,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr. No.,Description of goods Purchased,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Online,Total
18,VEGETABLE,,,,,,"1,419",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,419"
19,Day To Day,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,52
20,Extra Item,,,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
21,MR.COPY,,,,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
22,West Zone,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,16
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
,Cost of Goods Purchased,70,112,47,14,215,"1,516",104,-,175,-,118,3,236,433,131,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,208"
,Sub Total,70,112,47,14,215,"1,516",104,-,175,-,118,3,236,433,131,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,208"
,Closing stock of goods,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COST OF GOODS SOLD - Feb,70,112,47,14,215,"1,516",104,-,175,-,118,3,236,433,131,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,208"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Opening stock of goods,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,ADIL SUPERMARKET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
2,AL MADINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
3,ALI AL SAKIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
4,VIVA SUPERMARKET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
5,ESSA GROCERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
6,YOUSUF PLASTIC HAMAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
7,ANWAR FLOUR MILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
8,CHUNILAL PURSHOTTAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
9,DUBAI REFRESHMENT(P.J.S.C.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
10,FALCON GLOBAL LLC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
11,JOSHI FHARSAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
12,MODERN KEY TRENDING L.L.C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
13,SWADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
14,NFPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
15,SHINE DAIRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
16,SPOT PACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
17,SHIELD GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
18,VEGETABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
,Cost of Goods Purchased,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Sub Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Closing stock of goods,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COST OF GOODS SOLD - Mar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Opening stock of goods,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,ADIL SUPERMARKET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
2,AL MADINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
3,ALI AL SAKIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
4,VIVA SUPERMARKET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
5,ESSA GROCERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
6,YOUSUF PLASTIC HAMAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
7,ANWAR FLOUR MILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
8,CHUNILAL PURSHOTTAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
9,DUBAI REFRESHMENT(P.J.S.C.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
10,FALCON GLOBAL LLC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
11,JOSHI FHARSAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
12,MODERN KEY TRENDING L.L.C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
13,SWADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
14,NFPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
15,SHINE DAIRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
16,SPOT PACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
17,SHIELD GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
18,VEGETABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
,Cost of Goods Purchased,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Sub Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Closing stock of goods,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COST OF GOODS SOLD - Apr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Opening stock of goods,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,ADIL SUPERMARKET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
2,AL MADINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
3,ALI AL SAKIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
4,VIVA SUPERMARKET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
5,ESSA GROCERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
6,YOUSUF PLASTIC HAMAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
7,ANWAR FLOUR MILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
8,CHUNILAL PURSHOTTAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
9,DUBAI REFRESHMENT(P.J.S.C.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
10,FALCON GLOBAL LLC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
11,JOSHI FHARSAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
12,MODERN KEY TRENDING L.L.C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
13,SWADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
14,NFPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
15,SHINE DAIRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
16,SPOT PACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
17,SHIELD GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
18,VEGETABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
,Cost of Goods Purchased,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Sub Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Closing stock of goods,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COST OF GOODS SOLD - May,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Opening stock of goods,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,ADIL SUPERMARKET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
2,AL MADINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
3,ALI AL SAKIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
4,VIVA SUPERMARKET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
5,ESSA GROCERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
6,YOUSUF PLASTIC HAMAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
7,ANWAR FLOUR MILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
8,CHUNILAL PURSHOTTAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
9,DUBAI REFRESHMENT(P.J.S.C.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
10,FALCON GLOBAL LLC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
11,JOSHI FHARSAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
12,MODERN KEY TRENDING L.L.C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
13,SWADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
14,NFPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
15,SHINE DAIRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
16,SPOT PACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
17,SHIELD GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
18,VEGETABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
,Cost of Goods Purchased,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Sub Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
